Model,MSO2024B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.000768049,
Filter Frequency,2e+08,
Record Length,5208,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
1.4232e+00,-2.48,-2.44
1.4240e+00,-2.48,-2.54
1.4247e+00,-2.48,-2.42
1.4255e+00,-2.48,-2.54
1.4263e+00,-2.48,-2.42
1.4270e+00,-2.5,-2.52
1.4278e+00,-2.46,-2.4
1.4286e+00,-2.46,-2.5
1.4293e+00,-2.44,-2.4
1.4301e+00,-2.46,-2.5
1.4309e+00,-2.44,-2.38
1.4316e+00,-2.44,-2.5
1.4324e+00,-2.46,-2.38
1.4332e+00,-2.44,-2.48
1.4339e+00,-2.44,-2.36
1.4347e+00,-2.42,-2.48
1.4355e+00,-2.42,-2.36
1.4363e+00,-2.44,-2.46
1.4370e+00,-2.4,-2.36
1.4378e+00,-2.4,-2.46
1.4386e+00,-2.4,-2.34
1.4393e+00,-2.4,-2.44
1.4401e+00,-2.42,-2.34
1.4409e+00,-2.38,-2.44
1.4416e+00,-2.4,-2.32
1.4424e+00,-2.36,-2.42
1.4432e+00,-2.38,-2.32
1.4439e+00,-2.4,-2.42
1.4447e+00,-2.36,-2.3
1.4455e+00,-2.36,-2.42
1.4462e+00,-2.36,-2.3
1.4470e+00,-2.36,-2.4
1.4478e+00,-2.36,-2.28
1.4485e+00,-2.36,-2.4
1.4493e+00,-2.36,-2.28
1.4501e+00,-2.32,-2.38
1.4508e+00,-2.3,-2.26
1.4516e+00,-2.34,-2.38
1.4524e+00,-2.32,-2.26
1.4531e+00,-2.3,-2.36
1.4539e+00,-2.32,-2.24
1.4547e+00,-2.3,-2.36
1.4555e+00,-2.3,-2.24
1.4562e+00,-2.28,-2.34
1.4570e+00,-2.3,-2.24
1.4578e+00,-2.3,-2.34
1.4585e+00,-2.3,-2.2
1.4593e+00,-2.26,-2.34
1.4601e+00,-2.26,-2.1
1.4608e+00,-1.92,-4.46
1.4616e+00,-2.52,-1.54
1.4624e+00,-2.52,-2.56
1.4631e+00,-2.5,-2.44
1.4639e+00,-2.5,-2.54
1.4647e+00,-2.48,-2.42
1.4654e+00,-2.5,-2.54
1.4662e+00,-2.48,-2.42
1.4670e+00,-2.48,-2.52
1.4677e+00,-2.48,-2.42
1.4685e+00,-2.46,-2.52
1.4693e+00,-2.46,-2.4
1.4700e+00,-2.46,-2.5
1.4708e+00,-2.46,-2.4
1.4716e+00,-2.46,-2.5
1.4724e+00,-2.46,-2.38
1.4731e+00,-2.44,-2.48
1.4739e+00,-2.44,-2.36
1.4747e+00,-2.44,-2.48
1.4754e+00,-2.42,-2.36
1.4762e+00,-2.44,-2.46
1.4770e+00,-2.42,-2.36
1.4777e+00,-2.42,-2.46
1.4785e+00,-2.42,-2.34
1.4793e+00,-2.42,-2.44
1.4800e+00,-2.4,-2.34
1.4808e+00,-2.38,-2.44
1.4816e+00,-2.38,-2.32
1.4823e+00,-2.38,-2.44
1.4831e+00,-2.36,-2.32
1.4839e+00,-2.36,-2.42
1.4846e+00,-2.36,-2.3
1.4854e+00,-2.36,-2.42
1.4862e+00,-2.34,-2.3
1.4869e+00,-2.36,-2.4
1.4877e+00,-2.36,-2.28
1.4885e+00,-2.36,-2.4
1.4892e+00,-2.36,-2.28
1.4900e+00,-2.36,-2.38
1.4908e+00,-2.32,-2.28
1.4916e+00,-2.32,-2.38
1.4923e+00,-2.32,-2.26
1.4931e+00,-2.32,-2.36
1.4939e+00,-2.32,-2.24
1.4946e+00,-2.3,-2.36
1.4954e+00,-2.3,-2.24
1.4962e+00,-2.32,-2.34
1.4969e+00,-2.3,-2.22
1.4977e+00,-2.28,-2.34
1.4985e+00,-2.28,-2.22
1.4992e+00,-2.28,-2.32
1.5000e+00,-2.28,-2.22
1.5008e+00,-2.26,-2.32
1.5015e+00,-2.28,-2.2
1.5023e+00,-2.28,-2.34
1.5031e+00,-2.26,-2.22
1.5038e+00,-2.28,-2.34
1.5046e+00,-2.28,-2.22
1.5054e+00,-2.28,-2.34
1.5061e+00,-2.3,-2.22
1.5069e+00,-2.3,-2.36
1.5077e+00,-2.28,-2.24
1.5084e+00,-2.32,-2.36
1.5092e+00,-2.32,-2.24
1.5100e+00,-2.3,-2.36
1.5108e+00,-2.32,-2.24
1.5115e+00,-2.32,-2.36
1.5123e+00,-2.32,-2.26
1.5131e+00,-2.32,-2.38
1.5138e+00,-2.32,-2.26
1.5146e+00,-2.3,-2.54
1.5154e+00,-2.32,-1.94
1.5161e+00,-2.02,-4.54
1.5169e+00,-1.9,0.12
1.5177e+00,-1.9,-3.86
1.5184e+00,-2.62,-1.86
1.5192e+00,-2.58,-2.66
1.5200e+00,-2.6,-2.54
1.5207e+00,-2.58,-2.64
1.5215e+00,-2.6,-2.52
1.5223e+00,-2.56,-2.62
1.5230e+00,-2.56,-2.52
1.5238e+00,-2.58,-2.62
1.5246e+00,-2.58,-2.5
1.5253e+00,-2.56,-2.6
1.5261e+00,-2.54,-2.5
1.5269e+00,-2.54,-2.6
1.5276e+00,-2.54,-2.48
1.5284e+00,-2.54,-2.58
1.5292e+00,-2.54,-2.48
1.5300e+00,-2.52,-2.58
1.5307e+00,-2.52,-2.46
1.5315e+00,-2.5,-2.56
1.5323e+00,-2.5,-2.46
1.5330e+00,-2.5,-2.54
1.5338e+00,-2.5,-2.44
1.5346e+00,-2.52,-2.54
1.5353e+00,-2.5,-2.44
1.5361e+00,-2.5,-2.52
1.5369e+00,-2.48,-2.42
1.5376e+00,-2.48,-2.52
1.5384e+00,-2.48,-2.42
1.5392e+00,-2.46,-2.52
1.5399e+00,-2.46,-2.4
1.5407e+00,-2.46,-2.5
1.5415e+00,-2.46,-2.4
1.5422e+00,-2.46,-2.5
1.5430e+00,-2.44,-2.38
1.5438e+00,-2.42,-2.48
1.5445e+00,-2.44,-2.36
1.5453e+00,-2.42,-2.48
1.5461e+00,-2.44,-2.36
1.5469e+00,-2.42,-2.46
1.5476e+00,-2.42,-2.36
1.5484e+00,-2.42,-2.46
1.5492e+00,-2.4,-2.34
1.5499e+00,-2.4,-2.44
1.5507e+00,-2.42,-2.34
1.5515e+00,-2.38,-2.44
1.5522e+00,-2.4,-2.32
1.5530e+00,-2.38,-2.44
1.5538e+00,-2.38,-2.32
1.5545e+00,-2.38,-2.42
1.5553e+00,-2.38,-2.3
1.5561e+00,-2.4,-2.42
1.5568e+00,-2.36,-2.3
1.5576e+00,-2.36,-2.4
1.5584e+00,-2.36,-2.28
1.5591e+00,-2.38,-2.4
1.5599e+00,-2.36,-2.28
1.5607e+00,-2.34,-2.38
1.5614e+00,-2.34,-2.28
1.5622e+00,-2.34,-2.38
1.5630e+00,-2.32,-2.26
1.5637e+00,-2.32,-2.36
1.5645e+00,-2.32,-2.24
1.5653e+00,-2.32,-2.36
1.5661e+00,-2.28,-2.24
1.5668e+00,-2.32,-2.34
1.5676e+00,-2.3,-2.24
1.5684e+00,-2.28,-2.34
1.5691e+00,-2.3,-2.22
1.5699e+00,-2.28,-2.32
1.5707e+00,-2.3,-2.22
1.5714e+00,-2.28,-2.32
1.5722e+00,-2.26,-2.2
1.5730e+00,-2.26,-2.32
1.5737e+00,-2.26,-2.2
1.5745e+00,-2.26,-2.3
1.5753e+00,-2.26,-2.18
1.5760e+00,-2.26,-2.3
1.5768e+00,-2.26,-2.18
1.5776e+00,-2.28,-2.32
1.5783e+00,-2.26,-2.2
1.5791e+00,-2.26,-2.34
1.5799e+00,-2.28,-2.22
1.5806e+00,-2.28,-2.32
1.5814e+00,-2.3,-2.22
1.5822e+00,-2.3,-2.34
1.5829e+00,-2.3,-2.24
1.5837e+00,-2.3,-2.36
1.5845e+00,-2.28,-2.24
1.5853e+00,-2.3,-2.36
1.5860e+00,-2.32,-2.24
1.5868e+00,-2.32,-2.36
1.5876e+00,-2.3,-2.24
1.5883e+00,-2.32,-2.36
1.5891e+00,-2.32,-2.26
1.5899e+00,-2.32,-2.38
1.5906e+00,-2.32,-2.26
1.5914e+00,-2.3,-2.38
1.5922e+00,-2.32,-2.26
1.5929e+00,-2.34,-2.38
1.5937e+00,-2.34,-2.26
1.5945e+00,-2.34,-2.4
1.5952e+00,-2.34,-2.28
1.5960e+00,-2.36,-4.54
1.5968e+00,-1.88,-0.2
1.5975e+00,-1.94,-4.54
1.5983e+00,-2.46,0.54
1.5991e+00,-2.34,-4.54
1.5998e+00,-2.36,0.54
1.6006e+00,-2.36,-2.4
1.6014e+00,-2.36,-2.28
1.6022e+00,-2.34,-2.4
1.6029e+00,-2.36,-2.28
1.6037e+00,-2.36,-2.4
1.6045e+00,-2.36,-2.3
1.6052e+00,-2.34,-2.4
1.6060e+00,-2.36,-2.3
1.6068e+00,-2.36,-2.42
1.6075e+00,-2.38,-2.3
1.6083e+00,-2.38,-2.42
1.6091e+00,-2.36,-2.3
1.6098e+00,-2.36,-2.42
1.6106e+00,-2.38,-2.3
1.6114e+00,-2.36,-2.42
1.6121e+00,-2.38,-2.3
1.6129e+00,-2.36,-2.42
1.6137e+00,-2.38,-2.3
1.6144e+00,-2.38,-2.44
1.6152e+00,-2.36,-2.3
1.6160e+00,-2.38,-2.42
1.6167e+00,-2.38,-2.3
1.6175e+00,-2.38,-2.42
1.6183e+00,-2.36,-2.32
1.6190e+00,-2.4,-2.42
1.6198e+00,-2.38,-2.32
1.6206e+00,-2.38,-2.42
1.6214e+00,-2.4,-2.32
1.6221e+00,-2.38,-4.28
1.6229e+00,-2.38,-1.78
1.6237e+00,-2.58,-4.54
1.6244e+00,-2.58,-0.72
1.6252e+00,-2.44,-2.48
1.6260e+00,-2.44,-2.36
1.6267e+00,-2.42,-2.46
1.6275e+00,-2.42,-2.34
1.6283e+00,-2.4,-2.46
1.6290e+00,-2.4,-2.34
1.6298e+00,-2.42,-2.44
1.6306e+00,-2.42,-2.32
1.6313e+00,-2.38,-2.44
1.6321e+00,-2.38,-2.32
1.6329e+00,-2.38,-2.42
1.6336e+00,-2.38,-2.32
1.6344e+00,-2.38,-2.42
1.6352e+00,-2.36,-2.3
1.6359e+00,-2.36,-2.42
1.6367e+00,-2.36,-2.3
1.6375e+00,-2.36,-2.42
1.6382e+00,-2.38,-2.3
1.6390e+00,-2.38,-2.42
1.6398e+00,-2.38,-2.3
1.6406e+00,-2.38,-2.42
1.6413e+00,-2.4,-2.3
1.6421e+00,-2.38,-2.42
1.6429e+00,-2.38,-2.32
1.6436e+00,-2.38,-2.42
1.6444e+00,-2.38,-2.32
1.6452e+00,-2.4,-2.42
1.6459e+00,-2.38,-2.32
1.6467e+00,-2.4,-2.42
1.6475e+00,-2.38,-2.32
1.6482e+00,-2.38,-2.42
1.6490e+00,-2.38,-2.32
1.6498e+00,-2.38,-2.42
1.6505e+00,-2.38,-2.32
1.6513e+00,-2.38,-2.44
1.6521e+00,-2.38,-2.32
1.6528e+00,-2.4,-2.42
1.6536e+00,-2.38,-2.32
1.6544e+00,-2.4,-2.42
1.6551e+00,-2.38,-2.32
1.6559e+00,-2.38,-2.44
1.6567e+00,-2.38,-2.32
1.6575e+00,-2.4,-2.44
1.6582e+00,-2.36,-2.32
1.6590e+00,-2.4,-2.44
1.6598e+00,-2.4,-2.32
1.6605e+00,-2.38,-2.44
1.6613e+00,-2.38,-2.32
1.6621e+00,-2.38,-2.44
1.6628e+00,-2.38,-2.32
1.6636e+00,-2.38,-2.44
1.6644e+00,-2.38,-2.32
1.6651e+00,-2.4,-2.44
1.6659e+00,-2.4,-2.32
1.6667e+00,-2.38,-2.44
1.6674e+00,-2.4,-2.32
1.6682e+00,-2.4,-2.44
1.6690e+00,-2.36,-2.32
1.6697e+00,-2.38,-2.44
1.6705e+00,-2.38,-2.32
1.6713e+00,-2.4,-4.38
1.6720e+00,-2.42,-0.46
1.6728e+00,-1.96,-3.94
1.6736e+00,-1.9,-1.52
1.6743e+00,-3.24,-3.28
1.6751e+00,-3.2,-3.14
1.6759e+00,-3.2,-3.24
1.6767e+00,-3.18,-3.12
1.6774e+00,-3.18,-3.22
1.6782e+00,-3.16,-3.1
1.6790e+00,-3.14,-3.2
1.6797e+00,-3.14,-3.08
1.6805e+00,-3.14,-3.2
1.6813e+00,-3.12,-3.08
1.6820e+00,-3.12,-3.18
1.6828e+00,-3.12,-3.06
1.6836e+00,-3.1,-3.16
1.6843e+00,-3.1,-3.06
1.6851e+00,-3.1,-3.14
1.6859e+00,-3.1,-3.02
1.6866e+00,-3.08,-3.14
1.6874e+00,-3.08,-3.02
1.6882e+00,-3.06,-3.12
1.6889e+00,-3.08,-3
1.6897e+00,-3.08,-3.1
1.6905e+00,-3.08,-2.98
1.6912e+00,-3.04,-3.1
1.6920e+00,-3.06,-2.98
1.6928e+00,-3.04,-3.08
1.6935e+00,-3.04,-2.96
1.6943e+00,-3.02,-3.08
1.6951e+00,-3.02,-2.94
1.6959e+00,-3.02,-3.06
1.6966e+00,-3,-2.94
1.6974e+00,-3,-3.04
1.6982e+00,-3,-2.94
1.6989e+00,-3,-3.04
1.6997e+00,-2.98,-2.92
1.7005e+00,-2.98,-3.02
1.7012e+00,-2.98,-2.9
1.7020e+00,-2.98,-3
1.7028e+00,-2.96,-2.9
1.7035e+00,-2.96,-3
1.7043e+00,-2.94,-2.88
1.7051e+00,-2.94,-3
1.7058e+00,-2.94,-2.86
1.7066e+00,-2.92,-2.98
1.7074e+00,-2.94,-2.86
1.7081e+00,-2.92,-2.96
1.7089e+00,-2.92,-2.84
1.7097e+00,-2.9,-2.96
1.7104e+00,-2.9,-2.84
1.7112e+00,-2.88,-2.94
1.7120e+00,-2.88,-2.82
1.7127e+00,-2.9,-2.92
1.7135e+00,-2.88,-2.82
1.7143e+00,-2.88,-2.92
1.7151e+00,-2.86,-2.8
1.7158e+00,-2.86,-2.9
1.7166e+00,-2.86,-2.8
1.7174e+00,-2.86,-2.9
1.7181e+00,-2.86,-2.78
1.7189e+00,-2.86,-2.88
1.7197e+00,-2.84,-2.78
1.7204e+00,-2.84,-2.88
1.7212e+00,-2.84,-2.76
1.7220e+00,-2.82,-2.86
1.7227e+00,-2.82,-2.76
1.7235e+00,-2.8,-2.86
1.7243e+00,-2.82,-2.74
1.7250e+00,-2.8,-2.84
1.7258e+00,-2.8,-2.72
1.7266e+00,-2.8,-4.54
1.7273e+00,-1.9,-1.12
1.7281e+00,-2.44,-4.2
1.7289e+00,-2.36,-1.42
1.7296e+00,-2.36,-2.44
1.7304e+00,-2.4,-2.32
1.7312e+00,-2.38,-2.42
1.7320e+00,-2.36,-2.3
1.7327e+00,-2.36,-2.42
1.7335e+00,-2.38,-2.3
1.7343e+00,-2.34,-2.4
1.7350e+00,-2.34,-2.28
1.7358e+00,-2.36,-2.4
1.7366e+00,-2.36,-2.28
1.7373e+00,-2.34,-2.38
1.7381e+00,-2.34,-2.26
1.7389e+00,-2.3,-2.38
1.7396e+00,-2.32,-2.26
1.7404e+00,-2.32,-2.36
1.7412e+00,-2.32,-2.26
1.7419e+00,-2.3,-2.36
1.7427e+00,-2.3,-2.24
1.7435e+00,-2.32,-2.36
1.7442e+00,-2.3,-2.24
1.7450e+00,-2.28,-2.34
1.7458e+00,-2.28,-2.22
1.7465e+00,-2.3,-2.32
1.7473e+00,-2.28,-2.22
1.7481e+00,-2.28,-2.32
1.7488e+00,-2.26,-2.2
1.7496e+00,-2.26,-2.32
1.7504e+00,-2.26,-2.2
1.7512e+00,-2.26,-2.32
1.7519e+00,-2.28,-2.2
1.7527e+00,-2.28,-2.34
1.7535e+00,-2.28,-2.22
1.7542e+00,-2.3,-2.34
1.7550e+00,-2.3,-2.22
1.7558e+00,-2.3,-2.34
1.7565e+00,-2.3,-2.24
1.7573e+00,-2.3,-2.36
1.7581e+00,-2.32,-2.24
1.7588e+00,-2.3,-2.36
1.7596e+00,-2.3,-2.24
1.7604e+00,-2.32,-2.36
1.7611e+00,-2.32,-2.26
1.7619e+00,-2.32,-2.38
1.7627e+00,-2.34,-2.26
1.7634e+00,-2.32,-2.38
1.7642e+00,-2.34,-2.26
1.7650e+00,-2.32,-2.38
1.7657e+00,-2.32,-2.26
1.7665e+00,-2.34,-2.4
1.7673e+00,-2.34,-2.28
1.7680e+00,-2.34,-2.4
1.7688e+00,-2.36,-2.28
1.7696e+00,-2.34,-2.4
1.7704e+00,-2.36,-2.28
1.7711e+00,-2.32,-2.4
1.7719e+00,-2.36,-2.28
1.7727e+00,-2.34,-2.4
1.7734e+00,-2.36,-2.28
1.7742e+00,-2.36,-2.4
1.7750e+00,-2.36,-2.3
1.7757e+00,-2.36,-2.4
1.7765e+00,-2.38,-2.3
1.7773e+00,-2.36,-2.42
1.7780e+00,-2.34,-2.3
1.7788e+00,-2.36,-2.42
1.7796e+00,-2.36,-2.3
1.7803e+00,-2.36,-4.54
1.7811e+00,-2.36,0.54
1.7819e+00,-2.36,-2.42
1.7826e+00,-2.36,-2.3
1.7834e+00,-2.38,-2.42
1.7842e+00,-2.36,-2.3
1.7849e+00,-2.36,-2.42
1.7857e+00,-2.38,-2.32
1.7865e+00,-2.36,-2.42
1.7873e+00,-2.36,-2.32
1.7880e+00,-2.38,-2.42
1.7888e+00,-2.38,-2.3
1.7896e+00,-2.36,-2.42
1.7903e+00,-2.38,-2.32
1.7911e+00,-2.38,-2.44
1.7919e+00,-2.4,-2.32
1.7926e+00,-2.38,-2.42
1.7934e+00,-2.38,-2.32
1.7942e+00,-2.36,-2.42
1.7949e+00,-2.38,-2.32
1.7957e+00,-2.38,-2.42
1.7965e+00,-2.36,-2.32
1.7972e+00,-2.4,-2.42
1.7980e+00,-2.38,-2.32
1.7988e+00,-2.38,-2.42
1.7995e+00,-2.4,-2.32
1.8003e+00,-2.4,-2.42
1.8011e+00,-2.4,-2.32
1.8018e+00,-2.38,-2.44
1.8026e+00,-2.4,-2.32
1.8034e+00,-2.4,-2.44
1.8041e+00,-2.4,-2.32
1.8049e+00,-2.38,-2.44
1.8057e+00,-2.36,-2.32
1.8065e+00,-2.4,-2.44
1.8072e+00,-2.38,-2.32
1.8080e+00,-2.38,-2.44
1.8088e+00,-2.36,-2.32
1.8095e+00,-2.38,-2.44
1.8103e+00,-2.38,-2.32
1.8111e+00,-2.38,-2.44
1.8118e+00,-2.38,-2.32
1.8126e+00,-2.4,-2.44
1.8134e+00,-2.36,-2.32
1.8141e+00,-2.38,-2.44
1.8149e+00,-2.38,-2.32
1.8157e+00,-2.4,-2.44
1.8164e+00,-2.4,-2.32
1.8172e+00,-2.4,-2.44
1.8180e+00,-2.4,-2.32
1.8187e+00,-2.38,-2.44
1.8195e+00,-2.38,-2.32
1.8203e+00,-2.38,-2.44
1.8210e+00,-2.38,-2.32
1.8218e+00,-2.38,-2.44
1.8226e+00,-2.38,-2.32
1.8233e+00,-2.38,-2.44
1.8241e+00,-2.38,-2.32
1.8249e+00,-2.4,-2.44
1.8257e+00,-2.4,-2.32
1.8264e+00,-2.38,-2.44
1.8272e+00,-2.4,-2.32
1.8280e+00,-2.4,-2.44
1.8287e+00,-2.4,-2.32
1.8295e+00,-2.4,-2.44
1.8303e+00,-2.38,-2.32
1.8310e+00,-2.4,-2.44
1.8318e+00,-2.38,-2.32
1.8326e+00,-2.4,-3.72
1.8333e+00,-2.02,-0.92
1.8341e+00,-2.1,-3.7
1.8349e+00,-2.02,-1.82
1.8356e+00,-1.98,-4.54
1.8364e+00,-2.68,-1.82
1.8372e+00,-2.68,-2.74
1.8379e+00,-2.68,-2.62
1.8387e+00,-2.68,-2.72
1.8395e+00,-2.68,-2.6
1.8402e+00,-2.66,-2.7
1.8410e+00,-2.64,-2.6
1.8418e+00,-2.64,-2.7
1.8425e+00,-2.66,-2.6
1.8433e+00,-2.64,-2.68
1.8441e+00,-2.62,-2.58
1.8449e+00,-2.64,-2.68
1.8456e+00,-2.6,-2.56
1.8464e+00,-2.62,-2.66
1.8472e+00,-2.62,-2.56
1.8479e+00,-2.6,-2.66
1.8487e+00,-2.62,-2.54
1.8495e+00,-2.6,-2.64
1.8502e+00,-2.6,-2.54
1.8510e+00,-2.58,-2.64
1.8518e+00,-2.6,-2.52
1.8525e+00,-2.58,-2.62
1.8533e+00,-2.58,-2.52
1.8541e+00,-2.56,-2.62
1.8548e+00,-2.56,-2.5
1.8556e+00,-2.56,-2.6
1.8564e+00,-2.56,-2.5
1.8571e+00,-2.54,-2.6
1.8579e+00,-2.54,-2.48
1.8587e+00,-2.54,-2.58
1.8594e+00,-2.56,-2.48
1.8602e+00,-2.52,-2.58
1.8610e+00,-2.5,-2.46
1.8618e+00,-2.52,-2.56
1.8625e+00,-2.5,-2.46
1.8633e+00,-2.5,-2.56
1.8641e+00,-2.5,-2.44
1.8648e+00,-2.5,-2.54
1.8656e+00,-2.48,-2.42
1.8664e+00,-2.46,-2.52
1.8671e+00,-2.48,-2.42
1.8679e+00,-2.5,-2.52
1.8687e+00,-2.48,-2.42
1.8694e+00,-2.48,-2.52
1.8702e+00,-2.46,-2.4
1.8710e+00,-2.46,-2.5
1.8717e+00,-2.46,-2.38
1.8725e+00,-2.44,-2.5
1.8733e+00,-2.44,-2.38
1.8740e+00,-2.44,-2.48
1.8748e+00,-2.44,-2.38
1.8756e+00,-2.44,-2.48
1.8763e+00,-2.44,-2.36
1.8771e+00,-2.4,-2.46
1.8779e+00,-2.42,-2.36
1.8786e+00,-2.4,-2.46
1.8794e+00,-2.4,-2.34
1.8802e+00,-2.4,-2.46
1.8810e+00,-2.42,-2.34
1.8817e+00,-2.38,-2.44
1.8825e+00,-2.38,-2.32
1.8833e+00,-2.4,-2.42
1.8840e+00,-2.38,-2.32
1.8848e+00,-2.38,-2.42
1.8856e+00,-2.36,-2.3
1.8863e+00,-2.38,-4.44
1.8871e+00,-2.36,0.54
1.8879e+00,-2.22,-4.54
1.8886e+00,-2.26,0.54
1.8894e+00,-2.24,-2.3
1.8902e+00,-2.24,-2.18
1.8909e+00,-2.24,-2.28
1.8917e+00,-2.22,-2.18
1.8925e+00,-2.24,-2.28
1.8932e+00,-2.22,-2.16
1.8940e+00,-2.24,-2.26
1.8948e+00,-2.22,-2.16
1.8955e+00,-2.22,-2.26
1.8963e+00,-2.2,-2.16
1.8971e+00,-2.22,-2.26
1.8978e+00,-2.2,-2.14
1.8986e+00,-2.18,-2.24
1.8994e+00,-2.2,-2.14
1.9002e+00,-2.2,-2.24
1.9009e+00,-2.18,-2.12
1.9017e+00,-2.2,-2.26
1.9025e+00,-2.22,-2.14
1.9032e+00,-2.22,-2.26
1.9040e+00,-2.2,-2.16
1.9048e+00,-2.22,-2.28
1.9055e+00,-2.24,-2.16
1.9063e+00,-2.24,-2.28
1.9071e+00,-2.24,-2.18
1.9078e+00,-2.24,-2.3
1.9086e+00,-2.24,-2.18
1.9094e+00,-2.26,-2.32
1.9101e+00,-2.26,-2.2
1.9109e+00,-2.26,-3.94
1.9117e+00,-2.28,-1.9
1.9124e+00,-2.28,-4.54
1.9132e+00,-2.4,0.54
1.9140e+00,-2.4,-4.54
1.9147e+00,-1.42,0.36
1.9155e+00,-1.92,-4.1
1.9163e+00,-2.6,-1.72
1.9171e+00,-2.58,-2.64
1.9178e+00,-2.58,-2.52
1.9186e+00,-2.58,-2.62
1.9194e+00,-2.58,-2.52
1.9201e+00,-2.56,-2.62
1.9209e+00,-2.56,-2.5
1.9217e+00,-2.54,-2.6
1.9224e+00,-2.54,-2.5
1.9232e+00,-2.54,-2.6
1.9240e+00,-2.52,-2.48
1.9247e+00,-2.52,-2.58
1.9255e+00,-2.52,-2.46
1.9263e+00,-2.52,-2.56
1.9270e+00,-2.52,-2.46
1.9278e+00,-2.5,-2.56
1.9286e+00,-2.5,-2.44
1.9293e+00,-2.48,-2.54
1.9301e+00,-2.5,-2.44
1.9309e+00,-2.48,-2.54
1.9316e+00,-2.52,-2.42
1.9324e+00,-2.48,-2.52
1.9332e+00,-2.48,-2.42
1.9339e+00,-2.46,-2.52
1.9347e+00,-2.46,-2.4
1.9355e+00,-2.48,-2.52
1.9363e+00,-2.46,-2.4
1.9370e+00,-2.46,-2.5
1.9378e+00,-2.46,-2.38
1.9386e+00,-2.46,-2.48
1.9393e+00,-2.44,-0.94
1.9401e+00,-1.6,-4.54
1.9409e+00,-1.76,-1.06
1.9416e+00,-2.48,-2.5
1.9424e+00,-2.46,-2.4
1.9432e+00,-2.44,-2.5
1.9439e+00,-2.46,-2.38
1.9447e+00,-2.44,-2.48
1.9455e+00,-2.42,-2.36
1.9462e+00,-2.42,-2.48
1.9470e+00,-2.42,-2.36
1.9478e+00,-2.44,-2.46
1.9485e+00,-2.42,-2.36
1.9493e+00,-2.42,-2.46
1.9501e+00,-2.4,-2.34
1.9508e+00,-2.4,-2.44
1.9516e+00,-2.4,-2.34
1.9524e+00,-2.38,-2.44
1.9531e+00,-2.38,-2.32
1.9539e+00,-2.38,-2.42
1.9547e+00,-2.36,-2.3
1.9555e+00,-2.38,-2.42
1.9562e+00,-2.38,-2.3
1.9570e+00,-2.38,-2.4
1.9578e+00,-2.36,-2.3
1.9585e+00,-2.36,-2.4
1.9593e+00,-2.36,-2.28
1.9601e+00,-2.34,-2.4
1.9608e+00,-2.32,-2.28
1.9616e+00,-2.34,-2.4
1.9624e+00,-2.32,-2.26
1.9631e+00,-2.32,-2.38
1.9639e+00,-2.32,-2.26
1.9647e+00,-2.32,-2.36
1.9654e+00,-2.32,-2.26
1.9662e+00,-2.3,-2.36
1.9670e+00,-2.3,-2.24
1.9677e+00,-2.3,-2.34
1.9685e+00,-2.3,-2.24
1.9693e+00,-2.3,-2.34
1.9700e+00,-2.28,-2.22
1.9708e+00,-2.28,-2.32
1.9716e+00,-2.28,-2.22
1.9724e+00,-2.26,-2.32
1.9731e+00,-2.26,-2.2
1.9739e+00,-2.28,-2.3
1.9747e+00,-2.26,-2.2
1.9754e+00,-2.24,-2.3
1.9762e+00,-2.24,-2.18
1.9770e+00,-2.24,-2.3
1.9777e+00,-2.24,-2.18
1.9785e+00,-2.26,-2.3
1.9793e+00,-2.26,-2.18
1.9800e+00,-2.24,-2.32
1.9808e+00,-2.28,-2.2
1.9816e+00,-2.26,-2.32
1.9823e+00,-2.28,-2.22
1.9831e+00,-2.28,-2.34
1.9839e+00,-2.3,-2.22
1.9846e+00,-2.28,-2.34
1.9854e+00,-2.3,-2.22
1.9862e+00,-2.3,-3.78
1.9869e+00,-2.28,-1.72
1.9877e+00,-1.98,-4.4
1.9885e+00,-1.82,-1.1
1.9892e+00,-2.6,-2.64
1.9900e+00,-2.58,-2.52
1.9908e+00,-2.58,-2.62
1.9916e+00,-2.58,-2.5
1.9923e+00,-2.54,-2.6
1.9931e+00,-2.56,-2.5
1.9939e+00,-2.54,-2.6
1.9946e+00,-2.54,-2.48
1.9954e+00,-2.54,-2.58
1.9962e+00,-2.54,-2.48
1.9969e+00,-2.52,-2.58
1.9977e+00,-2.52,-2.46
1.9985e+00,-2.52,-2.56
1.9992e+00,-2.52,-2.46

